,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
1748,074610,KOSPI,이엔플러스,일반 목적용 기계 제조업,소방자동차 제조,2003-12-23,12월,안영용,http://www.en3.co.kr,경기도
1755,102460,KOSPI,이연제약,의약품 제조업,"항생제,순환기제",2010-06-10,12월,"정순옥, 유용환 (각자 대표이사)",http://reyonpharm.co.kr,서울특별시
1759,084680,KOSPI,이월드,유원지 및 기타 오락관련 서비스업,"놀이시설 운영,입장료,식음료 소매,부동산 임대",2005-07-26,12월,"유병천, 이수원",http://www.eworld.kr,대구광역시
1762,74701784,KOSPI,이지스187호,,,,,,,
1763,74701786,KOSPI,이지스196호 Class A,,,,,,,
1764,74701789,KOSPI,이지스204호 Class A,,,,,,,
1765,74701B8A,KOSPI,이지스229호 Class A,,,,,,,
1766,74702B8A,KOSPI,이지스229호 Class C-I,,,,,,,
1767,74701B8B,KOSPI,이지스239호 Class A,,,,,,,
1768,74701B96,KOSPI,이지스280호,,,,,,,
1769,74701B9A,KOSPI,이지스299호A,,,,,,,
1770,74701B97,KOSPI,이지스글로벌281호 Class A,,,,,,,
1771,350520,KOSPI,이지스레지던스리츠,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대",2020-08-05,06월,박영희,http://igisresidencereit.com/,서울특별시
1772,74702786,KOSPI,이지스리테일194호,,,,,,,
1773,74703B96,KOSPI,이지스리테일287호 Class A,,,,,,,
1774,74702B96,KOSPI,이지스리테일287호 Class C-I,,,,,,,
1775,74704B96,KOSPI,이지스리테일287호 Class C-P,,,,,,,
1776,334890,KOSPI,이지스밸류리츠,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대",2020-07-16,08월,도병운,http://www.igisvaluereit.com,서울특별시
1777,74702B98,KOSPI,이지스코어리테일302호A,,,,,,,
1778,74701B98,KOSPI,이지스코어리테일302호C-I,,,,,,,
1779,74701776,KOSPI,이지스코어부동산126호 A,,,,,,,
1780,74702776,KOSPI,이지스코어부동산126호 C-i,,,,,,,
1781,74701772,KOSPI,이지스코어부동산제117호A,,,,,,,
1782,74702772,KOSPI,이지스코어부동산제117호F,,,,,,,
1792,000760,KOSPI,이화산업,기타 전문 도매업,"염료(반응성염료,분산염료,범용염료,직접염료,산성염료),염료화성품,합성수지,고무 도매,제조",1994-04-29,12월,홍성우,http://www.rifa.co.kr,서울특별시
1794,014990,KOSPI,인디에프,봉제의복 제조업,"여성의류,남성의류,캐쥬얼웨어 제조",1989-06-20,12월,백정흠,http://www.inthef.co.kr,서울특별시
1800,006490,KOSPI,인스코비,전기 통신업,"시계,스마트그리드,도소매,소프트웨어개발",1985-01-17,12월,"유인수, 구자갑 (각자 대표이사)",http://www.inscobee.com,서울특별시
1802,023800,KOSPI,인지컨트롤스,자동차 신품 부품 제조업,"자동차부품(터머스위치,터머스탯) 제조",1997-06-23,12월,"대표이사 정구용, 대표이사 김양수",http://www.inzi.co.kr,경기도
1803,034590,KOSPI,인천도시가스,연료용 가스 제조 및 배관공급업,도시가스 공급/가스설비공사,2006-11-07,12월,정진서,http://www.icgas.co.kr,인천광역시
