2020-11-08 01:01:48 : 진행 시간 - 00:00 | 테스트 데이터 분리  
2020-11-08 01:04:29 : 진행 시간 - 00:03 | 학습 시작  
2020-11-08 01:06:05 : 진행 시간 - 00:03 | 학습 시작  
2020-11-08 01:06:20 : 진행 시간 - 00:18 | -1.518  
2020-11-08 01:06:20 : 진행 시간 - 00:18 | -1.518  
2020-11-08 01:06:20 : 진행 시간 - 00:18 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 01:06:20 : 진행 시간 - 00:18 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 01:06:20 : 진행 시간 - 00:18 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 01:06:22 : 진행 시간 - 00:20 | -2.7494  
2020-11-08 01:06:22 : 진행 시간 - 00:20 | -2.7494  
2020-11-08 01:06:22 : 진행 시간 - 00:20 | -2.7494  
2020-11-08 01:06:22 : 진행 시간 - 00:20 | -2.7494  
2020-11-08 01:06:22 : 진행 시간 - 00:20 | 다음 데이터가 없습니다. 1번째 에피소드가 끝났습니다.  
2020-11-08 01:06:22 : 진행 시간 - 00:20 | 다음 데이터가 없습니다. 1번째 에피소드가 끝났습니다.  
2020-11-08 01:06:22 : 진행 시간 - 00:20 | 다음 데이터가 없습니다. 1번째 에피소드가 끝났습니다.  
2020-11-08 01:06:22 : 진행 시간 - 00:20 | 다음 데이터가 없습니다. 1번째 에피소드가 끝났습니다.  
2020-11-08 01:06:22 : 진행 시간 - 00:20 | 다음 데이터가 없습니다. 1번째 에피소드가 끝났습니다.  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | -0.9214  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | -0.9214  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | -0.9214  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | -0.9214  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | -0.9214  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | -0.9214  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | 다음 데이터가 없습니다. 2번째 에피소드가 끝났습니다.  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | 다음 데이터가 없습니다. 2번째 에피소드가 끝났습니다.  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | 다음 데이터가 없습니다. 2번째 에피소드가 끝났습니다.  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | 다음 데이터가 없습니다. 2번째 에피소드가 끝났습니다.  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | 다음 데이터가 없습니다. 2번째 에피소드가 끝났습니다.  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | 다음 데이터가 없습니다. 2번째 에피소드가 끝났습니다.  
2020-11-08 01:06:24 : 진행 시간 - 00:22 | 다음 데이터가 없습니다. 2번째 에피소드가 끝났습니다.  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 0.5316  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 0.5316  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 0.5316  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 0.5316  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 0.5316  
